trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.1, 'e': 8.272406555663223e-05}",20,0,22.935834735666848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.1, 'e': 7.48518298877006e-05}",20,0,28.67992939706659,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.1, 'e': 6.772873649085378e-05}",25,0,32.69118984684137,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.1, 'e': 6.128349505322202e-05}",25,0,32.42852475778197,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.1, 'e': 5.5451599432176945e-05}",35,0,3.245492751155493,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.1, 'e': 5.017468205617528e-05}",30,22,14.815096247312404,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 4.5399929762484854e-05}",30,0,34.97254407726395,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,35.69309786170618,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,22.832414749531747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,28.730763777703466,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,43.57275708323759,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,39.07477959896952,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,10,27.025934889856497,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,25.044546416151793,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,1,30.377182175490226,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,0,49.08292104519163,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,42.088961800599556,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
